           planet_id  distance_to_earth
15600657  fae58c52a3              0.000
2259599   496e9c1434              0.000
17780077  41bb13ca61              0.000
9258841   2ccee418d0              0.000
17333857  334e722fe2              0.000
11757886  7dfe50251e              0.000
4384070   8e779d8aa4              0.001
7626353   f7d299d24d              0.001
6618373   d71488e2dc              0.001
17884537  452303fdb4              0.001
15575269  fa18f3de4c              0.001
23059743  ed49f5062c              0.002
6435581   d1122fb906              0.002
6283697   cc327b6c01              0.002
9955399   4383d54636              0.002
3509246   7206fd9366              0.002
5549556   b440c583e1              0.003
17995370  48c4a82460              0.003
4320494   8c5b64b91c              0.003
22666622  e08042d798              0.003
4073904   846602988c              0.003
12297125  8f8ecbbc13              0.003
6554475   d4fd451f39              0.003
9902116   41acc2f3f5              0.003
16021839   89a5b2c26              0.003
15912579   50f2243fc              0.004
20985566  a9d910dc8e              0.004
16597699  1b550dea46              0.004
17563941  3abe3bfb87              0.004
11286079  6ec74de614              0.004
10771794  5ded8ec95d              0.004
17111178  2bfb2b436b              0.004
13085628  a92a73350d              0.004
19182451  6f55c92e29              0.004
6837265   de267be27d              0.004
8944876   22ad37972d              0.004
19014907  69ceca4199              0.004
6830572   ddf62b25f3              0.004
17947106  4733c4a9fb              0.005
5934409   c0cc46d3da              0.005
7375611   efac499170              0.005
6525049   d40fdd4919              0.005
11845641  80d4720dfd              0.005
3689575   77eb90ef41              0.005
16518095  18bb9647b6              0.005
7028237   e45d173557              0.005
1192625   26c783901c              0.005
10992021  651c455fd1              0.005
10670969  5aa6e66a86              0.005
3919885   7f6769ef15              0.005
10252505  4d28379798              0.006
8072880    64c94b299              0.006
5569111   b4fc1febc2              0.006
6448672   d18afbef5d              0.006
13123024  aa62f53d87              0.006
14963119  e637f436f6              0.006
28270460  96aac88f87              0.006
20357987  9581850bbe              0.006
18946722  67a89fd5fb              0.006
15854371   32d82ad52              0.006
15201706  edeb9c687e              0.007
9995986   44d5b32678              0.007
19287153  72b8e9de81              0.007
11607063  793b4776d8              0.007
15199314  ede51109dc              0.007
6106018   c670eb53b7              0.007
8072300    64834ac9a              0.007
4422252   8fb4d56223              0.007
4261003   8a79a41887              0.007
9420721   320f37e7a9              0.007
21295957  b3f228eaa7              0.007
4933968   a05f84007c              0.007
17904246  45c58f2106              0.007
10757331  5d89f0145d              0.007
9011237   24dad8dfb9              0.008
18068414  4b188ef864              0.008
20418394  977f181dd8              0.008
23613415  ff4d2ac0e6              0.008
11242052  6d50c30b76              0.008
24690483  224aa11aea              0.008
16998240  2853d100a8              0.008
11342131  707dfe6985              0.008
23212436  f239d7bed8              0.008
528029    1123f2e5d4              0.009
9229766   2bde506cca              0.009
18666491  5e818d1181              0.009
8789077   1d92c7b786              0.009
19471795  78a6a4b528              0.009
6056862   c4d8009cfd              0.009
1802505   3aa050a8b2              0.009
16313694  121579954e              0.009
9918171   42414a20fb              0.010
4816488   9c8c3c1b77              0.010
13932509  c4c668cfb1              0.010
23154319  f05fb38965              0.010
18311702  52fb37ca86              0.010
19802778  838a82244f              0.010
8141123    88390326d              0.010
16783946  21580cb9b6              0.010
6484156   d2ab5101b1              0.010
20039898  8b230305b1              0.010
4114652   85aa2f0099              0.010
16425050  15bc4e5178              0.010
9126604   28923b61ee              0.010
20052669  8b9bd4969c              0.010
24004740   bffdc398c              0.011
18402300  55ed6a6d92              0.011
15741629  ff820918ae              0.011
9639454   393630c663              0.011
10291629  4e63e62917              0.011
8965921   2359de1891              0.011
5507936   b2fbf3434d              0.011
22395134  d7b1f21788              0.011
13589039  b998d2ed5b              0.011
16014886   86480af10              0.011
17676917  3e6d2837b7              0.011
19932757  87c194aa3d              0.011
17875977  44e5860c1b              0.011
7697627   fa26873f4c              0.011
4375170   8e21bea27c              0.012
4926626   a00b847a6d              0.012
3185682   6798049305              0.012
3126258   65a8c3b773              0.012
12681424  9c187243b1              0.012
12284160  8f29c6b62c              0.012
3007096   61ca529079              0.012
22599703  de53e8bd5b              0.012
1669017   363b72f024              0.012
5740944   ba945f5308              0.012
13836001  c1857268db              0.012
12242403  8dd64df418              0.012
10876176  615c3f8a09              0.012
4442728   905f7b314b              0.012
19998928  89e1d02807              0.012
12186247  8be50b5ba0              0.012
5514922   b33cee1b15              0.012
4801403   9c0c1aea5b              0.012
1285586   29d03a4889              0.012
20285114  9329d58173              0.012
8622425   1829ab9445              0.013
4108941   857f861c16              0.013
5256259   aabf151217              0.013
12225972  8d4c30cad9              0.013
11249451  6d970b8234              0.013
18306976  52d81b0f17              0.013
16331395  12af48fd14              0.013
14956246  e5febcb02f              0.013
9008898   24aebc13eb              0.013
1125013   248bec8be0              0.014
17802564  42742f53c9              0.014
10630681  5960a94ae5              0.014
14059637  c8d7d81040              0.014
21683845  c095986fe9              0.014
8065597    612459dc3              0.014
9566130   36d7c313dd              0.014
16175728   da2853f74              0.014
19987400  89802bce73              0.014
16915565  25a70e1012              0.014
21259923  b2b521e3bc              0.014
17827489  435799156f              0.014
3746379   79b64f6d3a              0.014
5276144   ab801187c6              0.015
6787893   dc98f7e2ef              0.015
19839907  84ac232a91              0.015
4045847   837bde2431              0.015
7154848   e87fdf84f2              0.015
18692504  5f6a2b4d6f              0.015
15459119  f64824ee28              0.015
7277525   ec7c3f60d5              0.015
5639376   b741d76db0              0.015
111262     399f1ebbb              0.015
8452332   12a6f30231              0.015
3735061   7969387c7b              0.015
14291385  d065339b69              0.015
770708    190df88f39              0.016
19556637  7b72c94553              0.016
23560779  fd98b4e6aa              0.016
23227859  f2ce03e137              0.016
16863160  23efb945b1              0.016
513952    10b3826f43              0.016
146908     4c154c166              0.016
23288660  f4b74c3043              0.016
6821042   dd9e69f763              0.016
13823890  c129cb2f20              0.016
7600575   f6f5951400              0.016
5979691   c254827e1a              0.016
22427601  d8bdae4208              0.016
370980     c14b41fdf              0.016
21036934  ab9324d22c              0.016
14870384  e337d625fe              0.016
2082488   43b1819b56              0.017
12585458  99022a8fc1              0.017
18464233  58030d7e83              0.017
11779145  7ecfcca9d5              0.017
5179105   a84ad62d3d              0.017
3507598   71ed9cb7d2              0.017
21120840  ae4429c2d9              0.017
15019906  e80fd1e1bf              0.017
10068501  472364a749              0.017
11053684  670fd493b3              0.017
15525587  f878d8dff8              0.017
17705579  3f3c60c1d3              0.017
21144188  af075a3821              0.018
4726958   999ce89969              0.018
1914690   3e3d8dfdc5              0.018
22431418  d8f4662e98              0.018
20593555  9d2e7158fb              0.018
15362846  f33b421932              0.018
11170696  6aedce283e              0.018
20535272  9b48e81028              0.018
18151069  4dc58e34b4              0.018
20768001  a2cbb884e2              0.018
6637923   d7acac9ac1              0.018
3522364   727e5269f1              0.018
7890029     610adea9              0.018
18109153  4c6fc55fd4              0.018
15634937  fc0c4969ae              0.019
20158149  8efc1cd7f3              0.019
14571353  d97cc8c8f2              0.019
13920328  c4470f427c              0.019
3874084   7deb9239b3              0.019
4273062   8ae857d4d7              0.019
15284741  f096e49ed0              0.019
21203422  b0f3f6a292              0.019
2165200   4668c3ea15              0.019
10839330  603f56ed28              0.019
10045764  467023057c              0.019
7083104   e628a5a7bb              0.019
2522244   51fc4f9d4a              0.019
4503121   925183485e              0.019
18206736  4fa6e11b1c              0.019
17718548  3fb429709b              0.020
10171966  4a8bd3cc87              0.020
20776592  a31e82ffff              0.020
16318087  123a749d24              0.020
1677076   368875925e              0.020
6781606   dc552cf8ed              0.020
3360174   6d257b63b7              0.020
7081932   e62578464e              0.020
2901699   5e5a381fc2              0.020
146696     4c97e7aeb              0.020
673991    15e344cfc9              0.020
11124350  6965f8e333              0.020
2998274   61700ad368              0.020
2753819   5981e5a3e6              0.020
29882554  cb0c771c20              0.020
3677863   777ab4a66f              0.020
12882207  a299c3f600              0.020
28104423  91468515c6              0.021
19365142  752f84e59f              0.021
6589416   d622ca6598              0.021
1197581   26ecf7b052              0.021
2818789   5ba81e2361              0.021
1542413   321ee173d8              0.021
7629219   f7e7114f32              0.021
10744427  5d0592b649              0.021
8745544   1c30b1870c              0.021
1022010   21423e63c7              0.021
11367489  715153acbf              0.021
1634921   3526d38240              0.021
